2025-04-02 08:34:05 - Current Artist MP3 not found: 'R. Michel Twerski', Source FILENAME: 'G:\Music\From Toshiba K\all Music h d\Music Alter\R. Michel Twerski\A Voice on High\I Modeh Ani - RMT.mp3'
2025-04-02 09:55:55 - Current Artist MP3 not found: 'R' Avrohom Asher Makovsky', Source FILENAME: 'G:\Shiurim\R Avrohom Asher Makovsky\Halacha\R' Avrohom Asher Makovsky - Must one eat a kezayis for maror amd koreich M1.mp3'
2025-04-02 13:16:21 - Current Artist MP3 not found: 'R' Yosef Elefant', Source FILENAME: 'G:\Shiurim\From D\R yosef elefant\Yomim Tovim\00_360 Pninim LiPesach Hallel M.mp3'
2025-04-02 16:31:39 - Current Artist MP3 not found: 'Rav kalman krohn', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\PESACH READY\R kalman krohn Pesach\R kalman krohn Pesach Lesamach Lev Umlallim nosei beol M.mp3'
2025-04-02 18:33:49 - Current Artist MP3 not found: 'Rav Yechiel Perr', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\R Yechiel Perr Erev Pesach 2022 M.mp3'
2025-04-02 19:30:01 - Current Artist MP3 not found: 'Rav Moshe Sorotzkin', Source FILENAME: 'G:\Shiurim\R Moshe Sorotskin\963-Rav Moshe Sorotzkin1 Nissan 5785.mp3'
2025-04-02 23:05:05 - Current Artist MP3 not found: 'Rav Meir Stern', Source FILENAME: 'G:\Shiurim\R Meir Stern\Pesach\Pesach 5778 M.mp3'
2025-04-03 02:33:52 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\20210524 Rabbi Y Sipper Yehoshua shemesh bigivon dom.mp3'
2025-04-03 06:15:07 - Current Artist MP3 not found: 'Rav Eliyahu Mordechai H'Kohen Richter', Source FILENAME: 'G:\Shiurim\R Eliyahu Mordechai H'Kohen Richter Shlita\Halacha\Pesach\Hilchos Pesach 1.mp3'
2025-04-03 06:31:15 - Current Artist MP3 not found: 'Rav Gershon Ribner Shlita', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\PESACH READY\R gershon ribner pesach M.mp3'
2025-04-03 08:32:09 - Current Artist MP3 not found: 'Rav Shlomo Gissinger', Source FILENAME: 'G:\Shiurim\R Shlomo Gissinger & R' Dovid Trenk ZTL\Hilchos Birchas Ilanos\Birchas Ilanos 2 M.mp3'
2025-04-03 09:08:08 - Current Artist MP3 not found: 'Rav Don Segal', Source FILENAME: 'G:\Shiurim\R Don Segal\R' Don Segal 21 Adar 5775 M.mp3'
2025-04-03 09:56:56 - Current Artist MP3 not found: 'Rav Yakov Moshe Shurkin', Source FILENAME: 'G:\Shiurim\R Yakov Moshe Shurkin\#14 B'din Stimas Hashinayim (Fillin''gs Belaa''z) Shebolu Chometz, U'beoid Inyonei Pesach V'seder Leil Pesach.MP3'
2025-04-03 12:52:55 - Current Artist MP3 not found: 'Rav Shmuel Fuerst', Source FILENAME: 'G:\Shiurim\R Shmuel Fuerst Shlita\rabbi_shmuel_fuerst_pesach-should-one-avoid-more-than-72-minutes-between-the-first-2-arba-kosot M.mp3'
2025-04-03 13:47:49 - Current Artist MP3 not found: 'Rav Michel Twerski', Source FILENAME: 'G:\Music\From Toshiba K\all Music h d\Music Alter\R. Michel Twerski\Philharmonic.Experience\07 - Pnu Eilai.mp3'
2025-04-03 13:56:07 - Current Artist MP3 not found: 'Rav refoel bistritz', Source FILENAME: 'G:\Shiurim\R Shlomo Alon plus Avodas Karbanos\Shiurim Kohanim Leviim and Yisroelim\14 reb refoel bistritz- amida al hakorbon achila M1.mp3'
2025-04-03 15:56:43 - Current Artist MP3 not found: 'Rav Chaim Mintz', Source FILENAME: 'G:\Shiurim\R Chaim Mintz\Yamim Tovim\Pesach\23 chashivus hazman chol ham Pesach 5771 M.mp3'
2025-04-03 16:25:23 - Current Artist MP3 not found: 'Rav Kalman Krohn', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\PESACH READY\R kalman krohn Pesach\R kalman krohn Hachana Lehagada shel Pesach 2 M.mp3'
2025-04-03 18:20:15 - Current Artist MP3 not found: 'Rav Shimshon Pincus', Source FILENAME: 'G:\Shiurim\R Shimshon Pincus\9 R'_Shimshon_Pincus_Pesach\01_The Seder Night M.mp3'
2025-04-03 18:44:40 - Current Artist MP3 not found: 'Rav Shimshon Pincus', Source FILENAME: 'G:\Shiurim\R Shimshon Pincus\9 R'_Shimshon_Pincus_Pesach\01_The Seder Night M.mp3'
2025-04-03 20:53:37 - Current Artist MP3 not found: 'Rav Eliyahu Mordechai H'Kohen Richter', Source FILENAME: 'G:\Shiurim\R Eliyahu Mordechai H'Kohen Richter Shlita\Halacha\Pesach\Hilchos Pesach 1-6 M.mp3'
2025-04-04 00:32:23 - Current Artist MP3 not found: 'Rav Shimon Spitzer', Source FILENAME: 'G:\Shiurim\R Shimon Spitzer\rabbi_shimon_spitzer_batya-s-hand M.mp3'
2025-04-04 01:24:33 - Current Artist MP3 not found: 'Rav Eliezer Ginsburg', Source FILENAME: 'G:\Shiurim\R Eliezer Ginsburg\rabbi_eliezer_ginsburg_be-strong H.mp3'
2025-04-04 01:37:17 - Current Artist MP3 not found: 'Rav Yosef Greenwald', Source FILENAME: 'G:\Shiurim\R Yosef Greenwald\Zemanei-Hayom-1-Can-we-define-nighttime H.mp3'
2025-04-04 02:10:32 - Current Artist MP3 not found: 'Rav yisroel apelbaum', Source FILENAME: 'G:\Music\From Toshiba K\Backup 5784\Data\R yisroel appelbaum all\R Apelbaum Shlita\rabbi_yisroel_apelbaum_parashat-vayikra-the-little-aleph_23_03_2020.mp3'
2025-04-04 06:39:16 - Current Artist MP3 not found: 'Rav Yosef Greenwald', Source FILENAME: 'G:\Shiurim\R Yosef Greenwald\rabbi_yosef_greenwald_pesachim-62-shechita-as-unique-in-korban-pesach H.mp3'
2025-04-04 07:04:08 - Current Artist MP3 not found: 'Rav Yitzchok Zilberstien', Source FILENAME: 'G:\Shiurim\R Yitzchok Zilberstien Shlita\R yitzchok zilberstien Erev pesach M.mp3'
